id_indikator
ISV-01
ISV-02
ISV-03
ISV-04
ISV-05
ISV-06
ISV-07
ISV-08
ISV-09
ISV-10
IUP-01
IUP-02
IUP-03
IUP-04
IUP-05
IUP-06
IUP-07
IUP-08
IUP-09
IUP-10
IUP-11
IUP-12
IUP-13
IUP-14
IUP-15
IUP-16
IUP-17
IUP-18
IUP-19
IUP-20
IUP-21
IUP-22
IUP-23
IUP-24
IUP-25
IUP-26
IUP-27
IUP-28
IUP-29
IUP-30
IUP-31
IUP-32
IUP-33
IUP-34
IUP-35
IUP-36
IUP-37
IUP-38
IUP-39
IUP-40
IUP-41
IUP-42
IUP-43
IUP-44
IUP-45
IUP-46
IUP-47
IUP-48
IUP-49
IUP-50
IUP-51
IUP-52
IUP-53
IUP-54
IUP-55
IUP-56
IUP-57
IUP-58
IUP-59
IUP-60
IUP-61
IUP-62
IUP-63
IUP-64
IUP-65
IUP-66
IUP-67
IUP-68
IUP-69
IUP-70
IUP-71
IUP-72
IUP-73
IUP-74
IUP-75
IUP-76
